Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
unix  2      [ ]         DGRAM      CONNECTED     478499   
unix  3      [ ]         SEQPACKET  CONNECTED     466349   
unix  3      [ ]         STREAM     CONNECTED     32047    
unix  3      [ ]         SEQPACKET  CONNECTED     39415    
unix  2      [ ]         DGRAM      CONNECTED     20746    
unix  3      [ ]         SEQPACKET  CONNECTED     54335    
unix  2      [ ]         DGRAM      CONNECTED     76864    
unix  2      [ ]         DGRAM      CONNECTED     49899    
unix  3      [ ]         SEQPACKET  CONNECTED     41376    
unix  3      [ ]         SEQPACKET  CONNECTED     513636   
unix  3      [ ]         SEQPACKET  CONNECTED     39416    
unix  3      [ ]         SEQPACKET  CONNECTED     12041    
unix  2      [ ]         DGRAM      CONNECTED     466462   
unix  3      [ ]         STREAM     CONNECTED     415215   
unix  3      [ ]         SEQPACKET  CONNECTED     39907    
unix  3      [ ]         STREAM     CONNECTED     29050    /dev/socket/traced_producer
unix  2      [ ]         DGRAM      CONNECTED     24956    
unix  2      [ ]         DGRAM      CONNECTED     523508   
unix  3      [ ]         SEQPACKET  CONNECTED     348443   
unix  2      [ ]         DGRAM      CONNECTED     27272    
unix  2      [ ]         DGRAM      CONNECTED     20905    
unix  3      [ ]         SEQPACKET  CONNECTED     44432    
unix  2      [ ]         DGRAM      CONNECTED     46117    
unix  2      [ ]         DGRAM      CONNECTED     30394    
unix  3      [ ]         SEQPACKET  CONNECTED     479784   
unix  3      [ ]         SEQPACKET  CONNECTED     355074   
unix  3      [ ]         SEQPACKET  CONNECTED     477820   
unix  2      [ ]         DGRAM      CONNECTED     256328   
unix  3      [ ]         SEQPACKET  CONNECTED     53269    
unix  3      [ ]         STREAM     CONNECTED     26423    /dev/socket/traced_producer
unix  3      [ ]         SEQPACKET  CONNECTED     252014   
unix  3      [ ]         STREAM     CONNECTED     605863   /dev/socket/rild-oem
unix  3      [ ]         STREAM     CONNECTED     334422   
unix  3      [ ]         SEQPACKET  CONNECTED     41373    
unix  2      [ ]         DGRAM      CONNECTED     21994    
unix  3      [ ]         SEQPACKET  CONNECTED     251039   
unix  2      [ ]         DGRAM      CONNECTED     49151    
unix  3      [ ]         SEQPACKET  CONNECTED     332567   
unix  3      [ ]         SEQPACKET  CONNECTED     348647   
unix  2      [ ]         DGRAM      CONNECTED     19641    
unix  2      [ ]         DGRAM      CONNECTED     21166    
unix  2      [ ]         DGRAM      CONNECTED     477770   
unix  3      [ ]         SEQPACKET  CONNECTED     465855   
unix  3      [ ]         SEQPACKET  CONNECTED     38873    
unix  3      [ ]         STREAM     CONNECTED     400273   
unix  3      [ ]         SEQPACKET  CONNECTED     356129   
unix  3      [ ]         SEQPACKET  CONNECTED     44908    
unix  3      [ ]         SEQPACKET  CONNECTED     42123    
unix  2      [ ]         DGRAM      CONNECTED     19690    
unix  3      [ ]         SEQPACKET  CONNECTED     53270    
unix  3      [ ]         SEQPACKET  CONNECTED     41372    
unix  3      [ ]         STREAM     CONNECTED     622396   
unix  3      [ ]         SEQPACKET  CONNECTED     399789   
unix  2      [ ]         DGRAM                    39654    
unix  2      [ ]         DGRAM      CONNECTED     492511   
unix  2      [ ]         DGRAM      CONNECTED     488061   
unix  3      [ ]         STREAM     CONNECTED     405330   
unix  3      [ ]         SEQPACKET  CONNECTED     356867   
unix  3      [ ]         STREAM     CONNECTED     348847   
unix  2      [ ]         DGRAM      CONNECTED     323259   
unix  2      [ ]         DGRAM      CONNECTED     507176   
unix  3      [ ]         SEQPACKET  CONNECTED     332426   
unix  3      [ ]         SEQPACKET  CONNECTED     34658    
unix  2      [ ]         DGRAM      CONNECTED     21487    
unix  2      [ ]         DGRAM      CONNECTED     13050    
unix  2      [ ]         DGRAM      CONNECTED     444057   
unix  2      [ ]         DGRAM      CONNECTED     348559   
unix  2      [ ]         DGRAM                    24393    
unix  2      [ ]         DGRAM      CONNECTED     25597    
unix  3      [ ]         SEQPACKET  CONNECTED     275678   
unix  3      [ ]         SEQPACKET  CONNECTED     29098    
unix  2      [ ]         DGRAM      CONNECTED     618828   
unix  3      [ ]         SEQPACKET  CONNECTED     559893   
unix  2      [ ]         DGRAM      CONNECTED     523490   
unix  3      [ ]         STREAM     CONNECTED     427324   
unix  3      [ ]         STREAM     CONNECTED     423872   
unix  2      [ ]         DGRAM      CONNECTED     14319    
unix  3      [ ]         STREAM     CONNECTED     426161   
unix  3      [ ]         SEQPACKET  CONNECTED     399817   
unix  2      [ ]         DGRAM      CONNECTED     32900    
unix  3      [ ]         SEQPACKET  CONNECTED     56743    
unix  2      [ ]         DGRAM                    30990    /dev/socket/wpa_wlan0
unix  3      [ ]         SEQPACKET  CONNECTED     399841   
unix  3      [ ]         SEQPACKET  CONNECTED     352471   
unix  3      [ ]         SEQPACKET  CONNECTED     39908    
unix  2      [ ]         DGRAM      CONNECTED     20428    
unix  3      [ ]         SEQPACKET  CONNECTED     58619    /dev/socket/logdr
unix  2      [ ]         DGRAM      CONNECTED     22073    
unix  3      [ ]         STREAM     CONNECTED     352492   
unix  2      [ ]         DGRAM      CONNECTED     30736    
unix  3      [ ]         SEQPACKET  CONNECTED     275677   
unix  3      [ ]         SEQPACKET  CONNECTED     29091    
unix  2      [ ]         DGRAM      CONNECTED     405957   
unix  3      [ ]         STREAM     CONNECTED     75114    
unix  3      [ ]         SEQPACKET  CONNECTED     563755   
unix  2      [ ]         DGRAM      CONNECTED     477312   
unix  3      [ ]         STREAM     CONNECTED     446465   
unix  3      [ ]         SEQPACKET  CONNECTED     326633   
unix  3      [ ]         SEQPACKET  CONNECTED     49075    
unix  3      [ ]         SEQPACKET  CONNECTED     399818   
unix  3      [ ]         SEQPACKET  CONNECTED     31169    
unix  2      [ ]         DGRAM      CONNECTED     14318    
unix  3      [ ]         SEQPACKET  CONNECTED     348442   
unix  2      [ ]         DGRAM      CONNECTED     20270    
unix  2      [ ]         DGRAM      CONNECTED     507320   
unix  3      [ ]         STREAM     CONNECTED     423884   
unix  2      [ ]         DGRAM      CONNECTED     323265   
unix  3      [ ]         SEQPACKET  CONNECTED     39558    
unix  2      [ ]         DGRAM      CONNECTED     3930     
unix  3      [ ]         STREAM     CONNECTED     398204   
unix  3      [ ]         SEQPACKET  CONNECTED     352498   
unix  2      [ ]         DGRAM      CONNECTED     53296    
unix  3      [ ]         STREAM     CONNECTED     27538    
unix  2      [ ]         DGRAM      CONNECTED     22130    
unix  2      [ ]         DGRAM      CONNECTED     591646   
unix  3      [ ]         STREAM     CONNECTED     39672    @com.android.internal.os.WebViewZygoteInit/754c9c10-bb20-4c0d-b18f-3ff9c118226d
unix  2      [ ]         DGRAM      CONNECTED     17013    
unix  3      [ ]         STREAM     CONNECTED     426386   
